application/vnd.ms-powerpoint.slide.macroenabled.12 sldm
application/vnd.openxmlformats-officedocument.presentationml.slide sldx
application/vnd.pg.format str
application/vnd.sailingtracker.track st
application/vnd.seemail see
application/vnd.sema sema
application/vnd.semd semd
application/vnd.semf semf
application/vnd.solent.sdkm+xml sdkm
application/vnd.solent.sdkm+xml sdkd
application/vnd.spotfire.sfs sfs
application/vnd.stardivision.calc sdc
application/vnd.stardivision.draw sda
application/vnd.stardivision.impress sdd
application/vnd.stardivision.math smf
application/vnd.stardivision.writer sdw
application/vnd.stardivision.writer-global sgl
application/vnd.stepmania.package smzip
application/vnd.stepmania.stepchart sm
application/vnd.sun.xml.calc sxc
application/vnd.sun.xml.calc.template stc
application/vnd.sun.xml.draw sxd
application/vnd.sun.xml.draw.template std
application/vnd.sun.xml.impress sxi
application/vnd.sun.xml.impress.template sti
application/vnd.sun.xml.math sxm
application/vnd.sun.xml.writer sxw
application/vnd.sun.xml.writer.global sxg
application/vnd.sun.xml.writer.template stw
application/vnd.sus-calendar sus
application/vnd.sus-calendar susp
application/vnd.svd svd
application/vnd.symbian.install sis
application/vnd.symbian.install sisx
application/vnd.wt.stf stf
application/vnd.yamaha.smaf-audio saf
application/vnd.yamaha.smaf-phrase spf
application/x-director swa
application/x-font-snf snf
application/x-futuresplash spl
application/x-msschedule scd
application/x-pkcs7-certificates spc
application/x-sh sh
application/x-shar shar
application/x-shockwave-flash swf
application/x-sql sql
application/x-stuffit sit
application/x-stuffitx sitx
application/x-subrip srt
application/x-sv4cpio sv4cpio
application/x-sv4crc sv4crc
application/x-wais-source src
audio/basic snd
audio/ogg spx
audio/s3m s3m
audio/silk sil
image/sgi sgi
image/svg+xml svg
image/svg+xml svgz
image/x-mrsid-image sid
model/mesh silo
text/sgml sgml
text/sgml sgm
text/vnd.curl.scurl scurl
text/vnd.in3d.spot spot
text/x-asm s
text/x-sfv sfv
video/x-smv smv
application/route-s-tsid+xml sls
application/senml+xml senmlx
application/sensml+xml sensmlx
application/sieve siv
application/sieve sieve
application/swid+xml swidtag
application/x-sea sea
model/step+xml stpx
model/step+zip stpz
model/step-xml+zip stpxz
text/html shtml
text/shex shex
text/slim slim
text/slim slm
text/spdx spdx
text/stylus stylus
text/stylus styl
text/x-sass sass
text/x-scss scss
application/studiom smp
application/x-sprite spr
application/x-sprite sprite
application/x-supercard sca
audio/x-qt-stream stream
application/andrew-inset ez
application/ecmascript ecma
application/emma+xml emma
application/epub+zip epub
application/exi exi
application/octet-stream elc
application/postscript eps
application/vnd.epson.esf esf
application/vnd.eszigno3+xml es3
application/vnd.eszigno3+xml et3
application/vnd.ezpix-album ez2
application/vnd.ezpix-package ez3
application/vnd.ms-fontobject eot
application/vnd.novadigm.edm edm
application/vnd.novadigm.edx edx
application/vnd.novadigm.ext ext
application/vnd.osgi.subsystem esa
application/vnd.pg.osasli ei6
application/vnd.picsel efif
application/x-envoy evy
application/x-eva eva
application/x-msdownload exe
application/x-msmetafile emf
application/x-msmetafile emz
audio/vnd.digital-winds eol
audio/vnd.nuera.ecelp4800 ecelp4800
audio/vnd.nuera.ecelp7470 ecelp7470
audio/vnd.nuera.ecelp9600 ecelp9600
message/rfc822 eml
text/x-setext etx
application/emotionml+xml emotionml
application/express exp
application/java-archive ear
image/aces exr
audio/echospeech es
application/applixware aw
application/atom+xml atom
application/atomcat+xml atomcat
application/atomsvc+xml atomsvc
application/pgp-signature asc
application/pkix-attr-cert ac
application/postscript ai
application/vnd.accpac.simply.aso aso
application/vnd.acucobol acu
application/vnd.acucorp atc
application/vnd.acucorp acutc
application/vnd.adobe.air-application-installer-package+zip air
application/vnd.ahead.space ahead
application/vnd.airzip.filesecure.azf azf
application/vnd.airzip.filesecure.azs azs
application/vnd.amazon.ebook azw
application/vnd.americandynamics.acc acc
application/vnd.amiga.ami ami
application/vnd.android.package-archive apk
application/vnd.antix.game-component atx
application/vnd.audiograph aep
application/vnd.dvb.ait ait
application/vnd.ibm.modcap afp
application/vnd.lotus-approach apr
application/x-abiword abw
application/x-ace-compressed ace
application/x-authorware-bin aab
application/x-authorware-map aam
application/x-authorware-seg aas
application/x-font-type1 afm
application/x-freearc arc
application/x-ms-application application
audio/adpcm adp
audio/basic au
audio/x-aac aac
audio/x-aiff aif
audio/x-aiff aiff
audio/x-aiff aifc
image/avif avif
text/cache-manifest appcache
text/x-asm asm
video/x-ms-asf asf
video/x-ms-asf asx
video/x-msvideo avi
application/appinstaller appinstaller
application/appx appx
application/appxbundle appxbundle
application/atomdeleted+xml atomdeleted
application/automationml-aml+xml aml
application/automationml-amlx+zip amlx
application/vnd.age age
application/x-arj arj
audio/aac adts
audio/amr amr
image/apng apng
image/avci avci
image/avcs avcs
image/vnd.airzip.accelerator.azv azv
application/astound asd
application/astound asn
audio/ac3 ac3
application/x-amf amf
application/ccxml+xml ccxml
application/cdmi-capability cdmia
application/cdmi-container cdmic
application/cdmi-domain cdmid
application/cdmi-object cdmio
application/cdmi-queue cdmiq
application/cu-seeme cu
application/java-vm class
application/mac-compactpro cpt
application/pkix-cert cer
application/pkix-crl crl
application/prs.cww cww
application/vnd.anser-web-certificate-issue-initiation cii
application/vnd.chemdraw+xml cdxml
application/vnd.cinderella cdy
application/vnd.claymore cla
application/vnd.clonk.c4group c4g
application/vnd.clonk.c4group c4d
application/vnd.clonk.c4group c4f
application/vnd.clonk.c4group c4p
application/vnd.clonk.c4group c4u
application/vnd.cluetrust.cartomobile-config c11amc
application/vnd.cluetrust.cartomobile-config-pkg c11amz
application/vnd.commonspace csp
application/vnd.contact.cmsg cdbcmsg
application/vnd.cosmocaller cmc
application/vnd.crick.clicker clkx
application/vnd.crick.clicker.keyboard clkk
application/vnd.crick.clicker.palette clkp
application/vnd.crick.clicker.template clkt
application/vnd.crick.clicker.wordbank clkw
application/vnd.curl.car car
application/vnd.kde.kchart chrt
application/vnd.mediastation.cdkey cdkey
application/vnd.ms-artgalry cil
application/vnd.ms-cab-compressed cab
application/vnd.ms-htmlhelp chm
application/vnd.ms-pki.seccat cat
application/vnd.rig.cryptonote cryptonote
application/vnd.rim.cod cod
application/vnd.tcpdump.pcap cap
application/vnd.yellowriver-custom-menu cmp
application/x-cbr cbr
application/x-cbr cba
application/x-cbr cbt
application/x-cbr cbz
application/x-cbr cb7
application/x-cfs-compressed cfs
application/x-chat chat
application/x-cpio cpio
application/x-csh csh
application/x-director cst
application/x-director cct
application/x-director cxt
application/x-mscardfile crd
application/x-msclip clp
application/x-msdownload com
application/x-netcdf cdf
application/x-x509-ca-cert crt
audio/x-caf caf
chemical/x-cdx cdx
chemical/x-cif cif
chemical/x-cmdf cmdf
chemical/x-cml cml
chemical/x-csml csml
image/cgm cgm
image/x-cmx cmx
text/css css
text/csv csv
text/plain conf
text/vnd.curl curl
text/x-c c
text/x-c cc
text/x-c cxx
text/x-c cpp
application/cdfx+xml cdfx
application/cpl+xml cpl
application/cwl cwl
application/node cjs
application/vnd.citationstyles.style+xml csl
application/x-chrome-extension crx
application/x-cocoa cco
model/vnd.cld cld
text/coffeescript coffee
audio/x-dspeech cht
application/pkcs10 csr
application/bat cmd
application/davmount+xml davmount
application/docbook+xml dbk
application/dssc+der dssc
application/msword doc
application/msword dot
application/octet-stream dms
application/octet-stream dist
application/octet-stream distz
application/octet-stream dump
application/octet-stream deploy
application/vnd.dart dart
application/vnd.dna dna
application/vnd.dpgraph dpg
application/vnd.dreamfactory dfac
application/vnd.fdsn.seed dataless
application/vnd.fujixerox.ddd ddd
application/vnd.mobius.daf daf
application/vnd.mobius.dis dis
application/vnd.ms-word.document.macroenabled.12 docm
application/vnd.ms-word.template.macroenabled.12 dotm
application/vnd.oma.dd2+xml dd2
application/vnd.openxmlformats-officedocument.wordprocessingml.document docx
application/vnd.openxmlformats-officedocument.wordprocessingml.template dotx
application/vnd.osgi.dp dp
application/vnd.spotfire.dxp dxp
application/vnd.tcpdump.pcap dmp
application/x-apple-diskimage dmg
application/x-debian-package deb
application/x-dgc-compressed dgc
application/x-director dir
application/x-director dcr
application/x-director dxr
application/x-dtbook+xml dtb
application/x-dvi dvi
application/x-msdownload dll
application/x-x509-ca-cert der
application/xml-dtd dtd
audio/vnd.dra dra
audio/vnd.dts dts
audio/vnd.dts.hd dtshd
image/vnd.djvu djvu
image/vnd.djvu djv
image/vnd.dwg dwg
image/vnd.dxf dxf
model/vnd.collada+xml dae
model/vnd.dwf dwf
text/plain def
text/prs.lines.tag dsc
text/vnd.curl.dcurl dcurl
text/x-c dic
video/vnd.dvb.file dvb
application/atsc-dwd+xml dwd
application/vnd.dbf dbf
application/vnd.syncml.dmddf+xml ddf
image/bmp dib
image/dicom-rle drle
image/dpx dpx
image/vnd.ms-dds dds
message/disposition-notification disposition-notification
audio/x-dspeech dus
font/ttf dfont
application/dssc+xml xdssc
application/patch-ops-error+xml xer
application/vnd.adobe.xdp+xml xdp
application/vnd.adobe.xfdf xfdf
application/vnd.fujixerox.docuworks xdw
application/vnd.fujixerox.docuworks.binder xbd
application/vnd.intercon.formnet xpw
application/vnd.intercon.formnet xpx
application/vnd.is-xpr xpr
application/vnd.mozilla.xul+xml xul
application/vnd.ms-excel xls
application/vnd.ms-excel xlm
application/vnd.ms-excel xla
application/vnd.ms-excel xlc
application/vnd.ms-excel xlt
application/vnd.ms-excel xlw
application/vnd.ms-excel.addin.macroenabled.12 xlam
application/vnd.ms-excel.sheet.binary.macroenabled.12 xlsb
application/vnd.ms-excel.sheet.macroenabled.12 xlsm
application/vnd.ms-excel.template.macroenabled.12 xltm
application/vnd.ms-xpsdocument xps
application/vnd.olpc-sugar xo
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet xlsx
application/vnd.openxmlformats-officedocument.spreadsheetml.template xltx
application/vnd.syncml+xml xsm
application/vnd.syncml.dm+xml xdm
application/vnd.xara xar
application/vnd.xfdl xfdl
application/x-authorware-bin x32
application/x-ms-xbap xbap
application/x-silverlight-app xap
application/x-xliff+xml xlf
application/x-xpinstall xpi
application/x-xz xz
application/xaml+xml xaml
application/xcap-diff+xml xdf
application/xenc+xml xenc
application/xhtml+xml xhtml
application/xhtml+xml xht
application/xml xml
application/xml xsl
application/xop+xml xop
application/xproc+xml xpl
application/xslt+xml xslt
application/xspf+xml xspf
application/xv+xml xhvml
application/xv+xml xvml
application/xv+xml xvm
